Treatment,Test,Species,Canker.Area
Erie Control,Endo,Hybrid,38.48451001
Erie Control,Endo,Hybrid,333.7942194
Erie,Endo,Hybrid,84.82300165
Erie,Endo,Hybrid,507.3672136
Maryland Control,Endo,Hybrid,75.39822369
Maryland,Endo,Hybrid,204.2035225
University Park Control,Endo,Hybrid,43.98229715
Maryland,Endo,Hybrid,565.4866776
University Park Control,Endo,Hybrid,60.47565858
University Park,Endo,Hybrid,54.97787144
Erie,Endo,Hybrid,38.48451001
University Park,Endo,Hybrid,38.48451001
University Park Control,Endo,Hybrid,84.82300165
University Park Control,Endo,Hybrid,43.98229715
Erie Control,Endo,Hybrid,38.48451001
Erie,Eco,Red,93.46238144
Erie,Eco,Red,65.97344573
Erie,Eco,Red,32.98672286
Erie,Eco,Red,1374.446786
Erie,Eco,Red,28.27433388
Erie,Eco,Red,367.5663405
Erie Control,Eco,Red,612.6105675
Erie Control,Eco,Red,54.97787144
Erie Control,Eco,Red,54.97787144
Erie Control,Eco,Red,87.9645943
Erie Control,Eco,Red,81.68140899
Erie Control,Eco,Red,23.5619449
Maryland,Eco,Red,259.1813939
Maryland,Eco,Red,82.46680716
Maryland,Eco,Red,38.48451001
Maryland,Eco,Red,204.2035225
Maryland,Eco,Red,417.8318229
Maryland,Eco,Red,94.24777961
Maryland Control,Eco,Red,28.27433388
Maryland Control,Eco,Red,23.5619449
Maryland Control,Eco,Red,65.97344573
Maryland Control,Eco,Red,28.27433388
Maryland Control,Eco,Red,62.83185307
Maryland Control,Eco,Red,49.48008429
University Park,Eco,Red,172.7875959
University Park,Eco,Red,530.1437603
University Park,Eco,Red,82.46680716
University Park,Eco,Red,62.83185307
University Park,Eco,Red,603.1857895
University Park,Eco,Red,62.83185307
University Park Control,Eco,Red,42.41150082
University Park Control,Eco,Red,106.8141502
University Park Control,Eco,Red,75.39822369
University Park Control,Eco,Red,28.27433388
University Park Control,Eco,Red,28.27433388
University Park Control,Eco,Red,28.27433388
Erie,Eco,Pin,32.98672286
Erie,Eco,Pin,37.69911184
Erie,Eco,Pin,28.27433388
Erie,Eco,Pin,98.96016859
Erie,Eco,Pin,28.27433388
Erie,Eco,Pin,23.5619449
Erie Control,Eco,Pin,230.90706
Erie Control,Eco,Pin,87.9645943
Erie Control,Eco,Pin,94.24777961
Erie Control,Eco,Pin,113.0973355
Erie Control,Eco,Pin,197.9203372
Erie Control,Eco,Pin,28.27433388
Maryland,Eco,Pin,27.48893572
Maryland,Eco,Pin,1021.017612
Maryland,Eco,Pin,357.3561643
Maryland,Eco,Pin,87.9645943
Maryland,Eco,Pin,38.48451001
Maryland,Eco,Pin,75.39822369
Maryland Control,Eco,Pin,47.1238898
Maryland Control,Eco,Pin,138.2300768
Maryland Control,Eco,Pin,172.7875959
Maryland Control,Eco,Pin,219.1260876
Maryland Control,Eco,Pin,78.53981634
Maryland Control,Eco,Pin,94.24777961
University Park,Eco,Pin,42.41150082
University Park,Eco,Pin,28.27433388
University Park,Eco,Pin,65.97344573
University Park,Eco,Pin,577.2676501
University Park,Eco,Pin,81.68140899
University Park,Eco,Pin,77.75441818
University Park Control,Eco,Pin,384.8451001
University Park Control,Eco,Pin,77.75441818
University Park Control,Eco,Pin,235.619449
University Park Control,Eco,Pin,
University Park Control,Eco,Pin,223.8384766
University Park Control,Eco,Pin,103.6725576
Erie,Eco,White,82.46680716
Erie,Eco,White,43.98229715
Erie,Eco,White,81.68140899
Erie,Eco,White,38.48451001
Erie,Eco,White,84.82300165
Erie,Eco,White,62.83185307
Erie Control,Eco,White,201.0619298
Erie Control,Eco,White,23.5619449
Erie Control,Eco,White,141.3716694
Erie Control,Eco,White,43.98229715
Erie Control,Eco,White,23.5619449
Erie Control,Eco,White,179.0707813
Maryland,Eco,White,38.48451001
Maryland,Eco,White,32.98672286
Maryland,Eco,White,102.1017612
Maryland,Eco,White,37.69911184
Maryland,Eco,White,43.98229715
Maryland,Eco,White,38.48451001
Maryland Control,Eco,White,23.5619449
Maryland Control,Eco,White,32.98672286
Maryland Control,Eco,White,56.54866776
Maryland Control,Eco,White,28.27433388
Maryland Control,Eco,White,32.98672286
Maryland Control,Eco,White,43.98229715
University Park,Eco,White,65.97344573
University Park,Eco,White,268.6061719
University Park,Eco,White,54.97787144
University Park,Eco,White,37.69911184
University Park,Eco,White,28.27433388
University Park,Eco,White,62.83185307
University Park Control,Eco,White,388.7720909
University Park Control,Eco,White,28.27433388
University Park Control,Eco,White,28.27433388
University Park Control,Eco,White,23.5619449
University Park Control,Eco,White,414.6902303
University Park Control,Eco,White,23.5619449
Erie,Eco,Beech,298.4513021
Erie,Eco,Beech,19.63495408
Erie,Eco,Beech,28.27433388
Erie,Eco,Beech,28.27433388
Erie,Eco,Beech,345.5751919
Erie,Eco,Beech,895.3539063
Erie Control,Eco,Beech,197.9203372
Erie Control,Eco,Beech,270.1769682
Erie Control,Eco,Beech,552.920307
Erie Control,Eco,Beech,196.3495408
Erie Control,Eco,Beech,138.2300768
Erie Control,Eco,Beech,384.8451001
Maryland,Eco,Beech,127.2345025
Maryland,Eco,Beech,224.6238747
Maryland,Eco,Beech,49.48008429
Maryland,Eco,Beech,131.9468915
Maryland,Eco,Beech,71.47123287
Maryland,Eco,Beech,50.26548246
Maryland Control,Eco,Beech,32.98672286
Maryland Control,Eco,Beech,243.4734307
Maryland Control,Eco,Beech,219.1260876
Maryland Control,Eco,Beech,127.2345025
Maryland Control,Eco,Beech,527.7875658
Maryland Control,Eco,Beech,82.46680716
University Park,Eco,Beech,180.6415776
University Park,Eco,Beech,113.0973355
University Park,Eco,Beech,172.7875959
University Park,Eco,Beech,201.0619298
University Park,Eco,Beech,106.8141502
University Park,Eco,Beech,275.6747554
University Park Control,Eco,Beech,314.1592654
University Park Control,Eco,Beech,23.5619449
University Park Control,Eco,Beech,19.63495408
University Park Control,Eco,Beech,19.63495408
